dataset,file,time,k,alpha,samples,hits,misses
data1,human,3.397,3,0.1,16222,15974,248
data1,ai,3.373,3,0.1,17962,16189,1773
data1,human,3.779,3,0.3,16222,15976,246
data1,ai,3.518,3,0.3,17962,16179,1783
data1,human,3.403,3,0.5,16222,15975,247
data1,ai,3.453,3,0.5,17962,16169,1793
data1,human,3.586,3,0.7,16222,15975,247
data1,ai,3.389,3,0.7,17962,16167,1795
data1,human,3.453,3,0.9,16222,15974,248
data1,ai,3.584,3,0.9,17962,16162,1800
data1,human,4.231,4,0.1,16222,16121,101
data1,ai,4.326,4,0.1,17962,16927,1035
data1,human,4.37,4,0.3,16222,16119,103
data1,ai,4.348,4,0.3,17962,16920,1042
data1,human,4.326,4,0.5,16222,16119,103
data1,ai,4.502,4,0.5,17962,16909,1053
data1,human,4.497,4,0.7,16222,16116,106
data1,ai,4.235,4,0.7,17962,16909,1053
data1,human,5.383,4,0.9,16222,16114,108
data1,ai,4.985,4,0.9,17962,16902,1060
data1,human,6.766,5,0.1,16222,16194,28
data1,ai,6.44,5,0.1,17962,17402,560
data1,human,6.874,5,0.3,16222,16191,31
data1,ai,6.252,5,0.3,17962,17388,574
data1,human,5.84,5,0.5,16222,16190,32
data1,ai,5.816,5,0.5,17962,17376,586
data1,human,6.347,5,0.7,16222,16186,36
data1,ai,5.46,5,0.7,17962,17370,592
data1,human,5.601,5,0.9,16222,16185,37
data1,ai,5.288,5,0.9,17962,17363,599
data1,human,8.913,6,0.1,16222,16216,6
data1,ai,7.841,6,0.1,17962,17670,292
data1,human,8.509,6,0.3,16222,16213,9
data1,ai,8.154,6,0.3,17962,17645,317
data1,human,8.775,6,0.5,16222,16211,11
data1,ai,8.564,6,0.5,17962,17620,342
data1,human,8.55,6,0.7,16222,16210,12
data1,ai,8.006,6,0.7,17962,17605,357
data1,human,8.337,6,0.9,16222,16209,13
data1,ai,7.748,6,0.9,17962,17595,367
data1,human,10.161,7,0.1,16222,16219,3
data1,ai,12.167,7,0.1,17962,17821,141
data1,human,10.562,7,0.3,16222,16218,4
data1,ai,9.895,7,0.3,17962,17801,161
data1,human,10.635,7,0.5,16222,16218,4
data1,ai,10.844,7,0.5,17962,17783,179
data1,human,12.597,7,0.7,16222,16217,5
data1,ai,12.36,7,0.7,17962,17772,190
data1,human,11.738,7,0.9,16222,16217,5
data1,ai,11.377,7,0.9,17962,17756,206
data1,human,12.475,8,0.1,16222,16218,4
data1,ai,11.47,8,0.1,17962,17883,79
data1,human,12.332,8,0.3,16222,16218,4
data1,ai,11.616,8,0.3,17962,17859,103
data1,human,12.509,8,0.5,16222,16218,4
data1,ai,11.516,8,0.5,17962,17844,118
data1,human,12.443,8,0.7,16222,16217,5
data1,ai,11.715,8,0.7,17962,17834,128
data1,human,12.647,8,0.9,16222,16217,5
data1,ai,11.509,8,0.9,17962,17827,135
data1,human,23.631,9,0.1,16222,16216,6
data1,ai,22.066,9,0.1,17962,17910,52
data1,human,26.169,9,0.3,16222,16216,6
data1,ai,25.636,9,0.3,17962,17894,68
data1,human,28.045,9,0.5,16222,16216,6
data1,ai,25.617,9,0.5,17962,17881,81
data1,human,27.014,9,0.7,16222,16216,6
data1,ai,25.344,9,0.7,17962,17866,96
data1,human,26.79,9,0.9,16222,16217,5
data1,ai,24.976,9,0.9,17962,17859,103
data1,human,29.8,10,0.1,16222,16215,7
data1,ai,28.51,10,0.1,17962,17927,35
data1,human,29.918,10,0.3,16222,16215,7
data1,ai,28.32,10,0.3,17962,17917,45
data1,human,29.653,10,0.5,16222,16215,7
data1,ai,28.905,10,0.5,17962,17909,53
data1,human,29.891,10,0.7,16222,16216,6
data1,ai,28.624,10,0.7,17962,17900,62
data1,human,31.466,10,0.9,16222,16216,6
data1,ai,25.445,10,0.9,17962,17889,73
data2,human,0.252,3,0.1,3593,3457,136
data2,ai,0.245,3,0.1,2619,2253,366
data2,human,0.272,3,0.3,3593,3447,146
data2,ai,0.258,3,0.3,2619,2282,337
data2,human,0.283,3,0.5,3593,3444,149
data2,ai,0.251,3,0.5,2619,2290,329
data2,human,0.264,3,0.7,3593,3437,156
data2,ai,0.245,3,0.7,2619,2294,325
data2,human,0.243,3,0.9,3593,3437,156
data2,ai,0.25,3,0.9,2619,2300,319
data2,human,0.305,4,0.1,3593,3496,97
data2,ai,0.282,4,0.1,2619,2319,300
data2,human,0.339,4,0.3,3593,3495,98
data2,ai,0.297,4,0.3,2619,2351,268
data2,human,0.308,4,0.5,3593,3494,99
data2,ai,0.339,4,0.5,2619,2368,251
data2,human,0.312,4,0.7,3593,3495,98
data2,ai,0.28,4,0.7,2619,2367,252
data2,human,0.294,4,0.9,3593,3492,101
data2,ai,0.28,4,0.9,2619,2370,249
data2,human,0.439,5,0.1,3593,3528,65
data2,ai,0.404,5,0.1,2619,2347,272
data2,human,0.428,5,0.3,3593,3521,72
data2,ai,0.397,5,0.3,2619,2382,237
data2,human,0.41,5,0.5,3593,3520,73
data2,ai,0.391,5,0.5,2619,2394,225
data2,human,0.417,5,0.7,3593,3519,74
data2,ai,0.376,5,0.7,2619,2403,216
data2,human,0.423,5,0.9,3593,3518,75
data2,ai,0.372,5,0.9,2619,2407,212
data2,human,0.575,6,0.1,3593,3529,64
data2,ai,0.521,6,0.1,2619,2398,221
data2,human,0.591,6,0.3,3593,3528,65
data2,ai,0.528,6,0.3,2619,2424,195
data2,human,0.597,6,0.5,3593,3520,73
data2,ai,0.531,6,0.5,2619,2435,184
data2,human,0.603,6,0.7,3593,3516,77
data2,ai,0.52,6,0.7,2619,2454,165
data2,human,0.6,6,0.9,3593,3511,82
data2,ai,0.531,6,0.9,2619,2466,153
data2,human,0.773,7,0.1,3593,3529,64
data2,ai,0.641,7,0.1,2619,2432,187
data2,human,0.722,7,0.3,3593,3518,75
data2,ai,0.629,7,0.3,2619,2483,136
data2,human,0.73,7,0.5,3593,3501,92
data2,ai,0.637,7,0.5,2619,2514,105
data2,human,0.725,7,0.7,3593,3492,101
data2,ai,0.646,7,0.7,2619,2531,88
data2,human,0.712,7,0.9,3593,3482,111
data2,ai,0.707,7,0.9,2619,2542,77
data2,human,0.787,8,0.1,3593,3511,82
data2,ai,0.725,8,0.1,2619,2491,128
data2,human,0.786,8,0.3,3593,3492,101
data2,ai,0.701,8,0.3,2619,2536,83
data2,human,0.83,8,0.5,3593,3472,121
data2,ai,0.739,8,0.5,2619,2558,61
data2,human,0.793,8,0.7,3593,3455,138
data2,ai,0.715,8,0.7,2619,2571,48
data2,human,0.811,8,0.9,3593,3443,150
data2,ai,0.708,8,0.9,2619,2578,41
data2,human,1.39,9,0.1,3593,3475,118
data2,ai,1.293,9,0.1,2619,2535,84
data2,human,1.392,9,0.3,3593,3443,150
data2,ai,1.294,9,0.3,2619,2572,47
data2,human,1.364,9,0.5,3593,3426,167
data2,ai,1.273,9,0.5,2619,2584,35
data2,human,1.371,9,0.7,3593,3412,181
data2,ai,1.278,9,0.7,2619,2597,22
data2,human,1.371,9,0.9,3593,3394,199
data2,ai,1.281,9,0.9,2619,2600,19
data2,human,1.485,10,0.1,3593,3432,161
data2,ai,1.437,10,0.1,2619,2573,46
data2,human,1.481,10,0.3,3593,3400,193
data2,ai,1.475,10,0.3,2619,2594,25
data2,human,1.47,10,0.5,3593,3376,217
data2,ai,1.594,10,0.5,2619,2603,16
data2,human,1.525,10,0.7,3593,3353,240
data2,ai,1.719,10,0.7,2619,2607,12
data2,human,1.728,10,0.9,3593,3323,270
data2,ai,1.538,10,0.9,2619,2609,10
